country_code,country_name,city,latitude,longitude,nb_users,percent
BF,Burkina Faso,,12.3702778,-1.5247222,47,0.0012195121951219512
DJ,Djibouti,,11.595,43.1480556,12,0.00031136481577581735
BI,Burundi,,-3.3761111,29.36,26,0.0006746237675142708
BJ,Benin,,6.35,2.4333333,171,0.004436948624805397
BW,Botswana,,-24.6463889,25.9119444,188,0.004878048780487805
DZ,Algeria,,36.7630556,3.0505556,1417,0.03676699532952776
GN,Guinea,,9.5091667,-13.7122222,97,0.002516865594187857
RW,Rwanda,,-1.9536111,30.0605556,347,0.009003632589517384
TZ,Tanzania,,-6.8,39.2833333,816,0.02117280747275558
GQ,Equatorial Guinea,,3.75,8.7833333,6,0.00015568240788790867
NA,Namibia,,-22.57,17.0836111,201,0.00521536066424494
NE,Niger,,13.6666667,1.7833333,31,0.0008043591074208614
NG,Nigeria,,6.453056,3.395833,5628,0.14603009859885832
TN,Tunisia,,36.806112,10.171078,2301,0.059704203425012974
LR,Liberia,,6.3105556,-10.8047222,96,0.002490918526206539
LS,Lesotho,,-29.3166667,27.4833333,51,0.0013233004670472237
CF,Central African Republic,,4.3666667,18.5833333,6,0.00015568240788790867
TG,Togo,,6.1372,1.2125,106,0.0027503892060197197
TD,Chad,,12.116667,15.05,21,0.0005448884276076804
ER,Eritrea,,15.333333,38.933333,13,0.0003373118837571354
LY,Lybia,,32.902222,13.185833,106,0.0027503892060197197
GW,Guinea-Bissau,,11.85,-15.5833333,4,0.00010378827192527245
ZM,Zambia,,-15.4166667,28.2833333,291,0.00755059678256357
CI,Côte d'Ivoire,,5.309657,-4.012656,271,0.007031655422937208
EH,Western Sahara,,27.153611,13.203333,15,0.0003892060197197717
CM,Cameroon,,4.0502778,9.7,688,0.01785158277114686
EG,Egypt,,30.05,31.25,5302,0.13757135443694862
SL,Sierra Leone,,8.49,-13.2341667,67,0.0017384535547483135
CG,Congo,,-4.2591667,15.2847222,82,0.002127659574468085
ZA,South Africa,,-33.925839,18.423218,5938,0.15407368967306695
AO,Angola,,-8.836804,13.233174,283,0.0073430202387130255
CD,Congo D.R.C,,-4.3,15.3,131,0.0033990659055526725
GA,Gabon,,0.3833333,9.45,49,0.0012714063310845874
ET,Ethiopia,,9.024325,38.749226,665,0.017254800207576543
GM,Gambia,,13.4530556,-16.5775,62,0.0016087182148417228
ZW,Zimbabwe,,-17.8177778,31.0447222,626,0.016242864556305137
CV,Cape Verde,,14.920833,-23.508333,67,0.0017384535547483135
GH,Ghana,,5.5,-0.2166667,1639,0.04252724442138038
SZ,Swaziland,,-26.4666667,31.2,45,0.001167618059159315
MG,Madagascar,,-18.9166667,47.5166667,341,0.008847950181629476
MA,Morocco,,33.592779,-7.619157,2730,0.07083549558899845
KE,Kenya,,-1.2833333,36.8166667,4476,0.11613907628437986
SS,South Sudan,,4.85,31.6,14,0.00036325895173845355
ML,Mali,,12.65,-8,71,0.0018422418266735858
KM,Comoros,,-11.7041667,43.2402778,6,0.00015568240788790867
ST,S\u00e3o Tom\u00e9 and Pr\u00edncipe,,0.336111,6.681389,3,7.784120394395434e-05
MU,Mauritius,,-20.1619444,57.4988889,473,0.012272963155163467
MW,Malawi,,-13.9833333,33.7833333,148,0.0038401660612350803
SO,Somalia,,2.0666667,45.3666667,103,0.0026725480020757656
SN,Senegal,,14.6708333,-17.4380556,408,0.01058640373637779
MR,Mauritania,,18.0863889,-15.9752778,41,0.0010638297872340426
SC,Seychelles,,-4.6167,55.45,28,0.0007265179034769071
UG,Uganda,,0.3155556,32.5655556,1255,0.03256357031655423
MZ,Mozambique,,-25.9652778,32.5891667,271,0.007031655422937208
SD,Sudan,,15.5880556,32.5341667,260,0.006746237675142709
CD,Congo D.R.C,Kinshasa,-4.3,15.3,69,0.0017903476907109497
TZ,Tanzania,Tanga,-5.0666667,39.1,4,0.00010378827192527245
MZ,Mozambique,Nampula,-15.1197222,39.2647222,1,2.5947067981318112e-05
UG,Uganda,Jinja,0.4244444,33.2041667,5,0.00012973533990659055
MG,Madagascar,Antsirabe,-19.85,47.0333333,6,0.00015568240788790867
